,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
34,maxabs_scaled-lda,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.09782814979553223,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
35,maxabs_scaled-lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.15465188026428223,"DecisionTreeClassifier(criterion='entropy', min_samples_split=10)"
36,maxabs_scaled-split pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.7547169811320755,0.7,0.7091025641025641,0.7,0.6912726244343892,0.6169193934557063,"[ 6  0  0  0  0  2  0  5  1  2  0  0  0  0 10  0  0  2  0  0  0  3  0  0
  1  0  0  0  0  0  2  0  2  0  0  4]",0.08480620384216309,"KNeighborsClassifier(metric='manhattan', n_neighbors=13)"
37,maxabs_scaled-split pca,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8238993710691824,0.65,0.6654761904761904,0.65,0.6533882783882784,0.5534290271132376,"[ 5  0  1  0  1  0  1  0  5  2  1  0  0  0  0  0 10  0  0  1  1  0  1  0
  2  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  2  1  1  0  0  0
  4]",0.15716028213500977,"DecisionTreeClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=10)"
38,maxabs_scaled-split lda,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.875,0.8535714285714284,0.875,0.861923076923077,0.8385794995964487,"[ 8  0  0  0  0  0  0  7  0  1  0  0  0  0 12  0  0  0  0  1  0  2  0  0
  0  0  0  0  0  1  0  0  2  0  0  6]",0.09535479545593262,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
39,maxabs_scaled-split lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9245283018867925,0.875,0.9199999999999999,0.875,0.889345238095238,0.8427672955974843,"[ 7  0  0  0  1  0  0  0  6  0  2  0  0  0  0  0 11  0  0  0  1  0  0  0
  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
  7]",0.1549670696258545,"DecisionTreeClassifier(criterion='entropy', min_samples_leaf=4)"
40,robust_scaled-original,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.975,0.951923076923077,0.975,0.9630000000000001,0.9678197908286403,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  0  0  0  0  0  8]",0.6036934852600098,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
41,robust_scaled-original,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,0.85,0.9,0.85,0.8576556776556776,0.8067632850241546,"[ 7  0  0  0  1  0  0  0  5  3  0  0  0  0  0  0 12  0  0  0  0  0  0  0
  2  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
  8]",3.1773626804351807,"DecisionTreeClassifier(criterion='entropy', max_depth=30)"
42,robust_scaled-pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.95,0.9321428571428572,0.95,0.9385897435897436,0.9354317998385795,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  0  0  1  0  0  7]",0.13072633743286133,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
43,robust_scaled-pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.949685534591195,0.825,0.875,0.825,0.8324175824175825,0.7752808988764045,"[ 7  0  0  0  1  0  0  0  6  1  1  0  0  0  0  0 12  0  0  0  0  0  0  1
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  2  0  0  0
  5]",0.6361377239227295,"DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2,
                       min_samples_split=5)"
