,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
10,standard_scaled-original,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.975,0.951923076923077,0.975,0.9630000000000001,0.9678197908286403,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  1  0  0  0  0  0  0  0  0  8]",0.5977652072906494,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
11,standard_scaled-original,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9937106918238994,0.85,0.840967365967366,0.85,0.8352781954887218,0.8061389337641357,"[ 8  0  0  0  0  0  0  5  1  0  0  2  0  1 11  0  0  0  0  0  0  2  0  1
  0  0  1  0  0  0  0  0  0  0  0  8]",3.612668752670288,"DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_split=5)"
12,standard_scaled-pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",1.0,0.95,0.93125,0.95,0.9392857142857143,0.9361022364217253,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  0  1  0  0  0  1  0  7]",0.27402448654174805,"KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')"
13,standard_scaled-pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9245283018867925,0.8,0.8541666666666666,0.8,0.8071794871794872,0.7446129289704708,"[ 7  0  0  0  1  0  0  0  5  2  1  0  0  0  0  0 12  0  0  0  0  0  0  0
  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  2  0  0  1
  5]",0.7710146903991699,"DecisionTreeClassifier(criterion='entropy', min_samples_leaf=2,
                       min_samples_split=10)"
14,standard_scaled-lda,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.11973190307617188,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)"
15,standard_scaled-lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 40, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,"[ 8  0  0  0  0  0  0  8  0  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  1  0  0  0  0  0  0  8]",0.19898748397827148,"DecisionTreeClassifier(criterion='entropy', max_depth=40)"
16,standard_scaled-split pca,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.7295597484276729,0.7,0.7158882783882783,0.7,0.7021288515406162,0.6175298804780877,"[ 6  0  0  0  0  2  0  6  0  2  0  0  0  0 10  0  1  1  0  0  1  2  0  0
  1  0  0  0  0  0  2  0  2  0  0  4]",0.12825870513916016,"KNeighborsClassifier(metric='manhattan', n_neighbors=13)"
17,standard_scaled-split pca,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7987421383647799,0.575,0.6310389610389611,0.575,0.589945652173913,0.47571318427139553,"[5 1 0 0 1 0 1 0 5 1 2 0 0 0 0 0 8 0 0 3 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 2 1 2 0 0 1 2]",0.22144865989685059,"DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=4)"
18,standard_scaled-split lda,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.875,0.8535714285714284,0.875,0.861923076923077,0.8385794995964487,"[ 8  0  0  0  0  0  0  7  0  1  0  0  0  0 12  0  0  0  0  1  0  2  0  0
  0  0  0  0  0  1  0  0  2  0  0  6]",0.11701035499572754,"KNeighborsClassifier(metric='manhattan', n_neighbors=1)"
19,standard_scaled-split lda,DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9245283018867925,0.875,0.9199999999999999,0.875,0.889345238095238,0.8427672955974843,"[ 7  0  0  0  1  0  0  0  6  0  2  0  0  0  0  0 11  0  0  0  1  0  0  0
  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
  7]",0.1955115795135498,"DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=4,
                       min_samples_split=10)"
20,minmax_scaled-original,KNeighborsClassifier,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",1.0,0.95,0.9297008547008547,0.95,0.9379019607843138,0.9356395816572808,"[ 8  0  0  0  0  0  0  7  1  0  0  0  0  0 12  0  0  0  0  0  0  3  0  0
  0  0  0  0  0  1  0  0  0  0  0  8]",0.6892731189727783,"KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')"
